"Billing Agreements","Paypal Zahlungsfreigaben"
"ID","Id"
"Email","E-Mail"
"First Name","Vorname"
"Last Name","Nachname"
"Reference ID","Referenz ID"
"Status","Status"
"Created","Erstellt"
"N/A","Keine Angabe"
"Updated","Aktualisiert"
"Back","Zurück"
"Are you sure you want to do this?","Sind Sie sicher, dass Sie dies tun wollen?"
"Cancel","Stornieren"
"Billing Agreement #%1","Zahlungsvereinbarung #%1"
"General Information","Allgemeine Information"
"Related Orders","Zugehörige Bestellungen"
"Order","Bestellung"
"Purchased","Gekauft"
"Bill-to Name","Rechnungsname"
"Ship-to Name","Versandname"
"Order Total","Bestellsumme"
"Purchase Point","Verkaufsort"
"Billing Agreement View","Abrechnungsvereinbarung ansehen"
"Are you sure you want to authorize full order amount?","Sind Sie sicher, dass Sie die Gesamtauftragssumme genehmigen möchten?"
"Authorize","Autorisieren"
"View Transaction Details","Transaktionsdetails anzeigen"
"Reference Information","Referenzinformationen"
"Transaction Information","Transaktionsinformationen"
"PayPal Fee Information","PayPal Gebühreninformation"
"PayPal Settlement Reports","PayPal Abrechnungen"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Wir verbinden mit dem PayPal-SFTP-Server, um neue Berichte abzurufen. Sind Sie sicher, dass Sie weitermachen möchten?"
"Fetch Updates","Aktualisierungen abrufen"
"button_label","button_label"
"sandbox_button_label","sandbox_button_label"
"Help","Hilfe"
"Configure","Konfigurieren"
"Close","Schließen"
"Learn More","Mehr erfahren"
"View Demo","Demo anzeigen"
"See terms","Allgemeine Geschäftsbedingungen ansehen"
"You will be redirected to the PayPal website.","Sie werden zur PayPal-Website weitergeleitet."
"You will be redirected to the PayPal website when you place an order.","Sie werden zur PayPal-Website weitergeleitet, wenn Sie eine Bestellung aufgeben."
"Incl. Tax","Inkl. MwSt."
"Billing Information","Bestellübersicht"
"Shipping Information","Versandinformation"
"Invalid block type","Ungültiger Block-Typ"
"Please specify the correct billing agreement ID and try again.","Bitte geben Sie die korrekte Abrechnungsvereinbarungs-ID ein und versuchen es erneut."
"You canceled the billing agreement.","Sie haben die Abrechnungsvereinbarung abgebrochen."
"We can't cancel the billing agreement.","Wir konnten die Abrechnungsvereinbarung nicht abbrechen."
"You deleted the billing agreement.","Sie haben die Abrechnungsvereinbarung gelöscht."
"We can't delete the billing agreement.","Wir konnten die Abrechnungsvereinbarung nicht löschen."
"Payment authorization has been successfully created.","Die Zahlungsautorisierung wurde erfolgreich erstellt."
"Unable to make payment authorization.","Zahlungsautorisierung nicht möglich."
"Reports","Berichte"
"Sales","Verkäufe"
"View Transaction","Transaktion anzeigen"
"We found nothing to fetch because of an empty configuration.","Wir konnten aufgrund einer leeren Konfiguration nichts abrufen."
"We fetched %1 report rows from ""%2@%3.""","Wir haben %1 Berichtszeilen aus ""%2@%3."" abgerufen."
"We can't fetch reports from ""%1@%2.""","Die Berichte können nicht aus ""%1@%2."" abgerufen werden."
"The billing agreement ""%1"" has been canceled.","Die Abrechnungsvereinbarung ""%1"" wurde abgebrochen."
"The billing agreement ""%1"" has been created.","Die Abrechnungsvereinbarung ""%1"" wurde erstellt."
"We couldn't finish the billing agreement wizard.","Wir konnten den Abrechnungsvereinbarung -Assistent nicht beenden."
"We can't start the billing agreement wizard.","Wir konnten den Abrechnungsvereinbarung -Assistent nicht starten."
"Billing Agreement # %1","Zahlungsvereinbarung # %1"
"We can't initialize Express Checkout.","Wir konnten die Express-Kaufabwicklung nicht initialisieren."
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token existiert nicht."
"A wrong PayPal Express Checkout Token is specified.","Ein falsches PayPal Express Checkout Token ist angegeben."
"Express Checkout and Order have been canceled.","Express-Checkout und Bestellung wurde abgebrochen."
"Express Checkout has been canceled.","Express-Checkout wurde abgebrochen."
"Unable to cancel Express Checkout","Express-Checkout kann nicht abgebrochen werden"
"Please agree to all the terms and conditions before placing the order.","Bitte lesen und akzeptieren Sie alle AGB, bevor Sie Ihre Bestellung aufgeben."
"We can't process Express Checkout approval.","Wir konnten die Genehmigung der Express-Kaufabwicklung nicht verarbeiten."
"We can't initialize Express Checkout review.","Wir konnten die Überprüfung der Express-Kaufabwicklung nicht initialisieren."
"We can't update shipping method.","Wir können die Versandart nicht aktualisieren."
"We can't start Express Checkout.","Wir konnten Express-Kaufabwicklung nicht starten."
"To check out, please sign in with your email address.","Um zur Kasse zu gehen, melden Sie sich bitte mit Ihrer E-Mail-Adresse an."
"Sorry, but something went wrong","Verzeihung, aber etwas ist schiefgegangen"
"Your payment has been declined. Please try again.","Ihre Zahlung wurde abgelehnt. Bitte versuchen Sie es erneut."
"Requested payment method does not match with order.","Die gewünschte Zahlungsmethode passt nicht zur Bestellung."
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Möchten Sie eine Zahlungsvereinbarung unterzeichnen, um weitere Einkäufe mit PayPal zu beschleunigen?"
"Error processing payment, please try again later.","Bei der Bezahlung ist ein Fehler aufgetreten. Bitte versuchen Sie es später nocheinmal."
"Authorization is not allowed.","Autorisierung ist nicht erlaubt."
"Payment Gateway is unreachable at the moment. Please use another payment option.","Zahlungs-Gateway ist derzeit nicht erreichbar. Verwenden Sie bitte eine andere Zahlungsoption."
"PayPal response hasn't required fields.","Die PayPal Antwort enthält nicht die benötigten Felder."
"Something went wrong while processing your order.","Bei der Bearbeitung Ihrer Bestellung ist ein Fehler aufgetreten."
"PayPal gateway has rejected request. %1","Das Paypal-gateway hat die Anfrage abgewiesen. %1"
"The PayPal gateway rejected the request. %1","Das Paypal-gateway hat die Anfrage abgewiesen. %1"
"I'm sorry - but we were not able to process your payment. Please try another payment method or contact us so we can assist you.","Es tut mir leid - aber wir waren nicht in der Lage, Ihre Zahlung zu verarbeiten. Bitte versuchen Sie eine andere Zahlungsart oder kontaktieren Sie uns, damit wir Ihnen weiterhelfen können."
"I'm sorry - but we are not able to complete your transaction. Please contact us so we can assist you.","Es tut mir leid - aber wir sind nicht in der Lage, Ihre Transaktion abzuschließen. Bitte kontaktieren Sie uns, damit wir Ihnen weiterhelfen können."
"A match of the Shipping Address City, State, and Postal Code failed.","Versandadresse, Staat und Postleitzahl passen nicht zusammen."
"We can't place the order.","Wir können die Bestellung nicht aufgeben."
"The payment method code is not set.","Der Zahlungsmethoden-Code ist nicht gesetzt."
"The reference ID is not set.","Die Referenz-ID ist nicht festgelegt."
"Unable to save Billing Agreement:","Zahlungsvereinbarung kann nicht gespeichert werden:"
"Active","Aktiv"
"Canceled","Storniert"
"The customer ID is not set.","Die Kunden-ID ist nicht spezifiziert."
"The Billing Agreement status is not set.","Der Status der Zahlungsvereinbarung ist nicht spezifiziert."
"The PayPal certificate does not exist.","Das PayPal-Zertifikat ist nicht vorhanden."
"We prefer PayPal (150 X 60)","Wir bevorzugen PayPal (150 X 60)"
"We prefer PayPal (150 X 40)","Wir bevorzugen PayPal (150 X 60)"
"Now accepting PayPal (150 X 60)","Wir akzeptieren PayPal (150 x 60)"
"Now accepting PayPal (150 X 40)","Wir akzeptieren PayPal (150 x 40)"
"Payments by PayPal (150 X 60)","Zahlungen per PayPal (150 x 60)"
"Payments by PayPal (150 X 40)","Zahlungen per PayPal (150 x 40)"
"Shop now using (150 X 60)","Shop nutzt jetzt (150 X 60)"
"Shop now using (150 X 40)","Shop nutzt jetzt (150 X 40)"
"Dynamic","Dynamisch"
"Static","Statisch"
"Shortcut","Verknüpfung"
"Acceptance Mark Image","Akzeptanz Markierungs-Bild"
"Authorization","Autorisierung"
"Sale","Verkauf"
"Yes","Ja"
"No","Nein"
"For Virtual Quotes Only","Nur für virtuelle Angebote"
"Auto","Automatisch"
"Ask Customer","Kunden fragen"
"Never","Niemals"
"IPN (Instant Payment Notification) Only","Nur IPN (Instant Payment Notification)"
"API Signature","API-Signatur"
"API Certificate","API-Zertifikat"
"The maximum number of child authorizations is reached.","Die maximale Anzahl an Child-Berechtigungen ist erreicht."
"We'll authorize the amount of %1 as soon as the payment gateway approves it.","Wir werden eine Höhe von %1 autorisieren, sobald das Payment-Gateway es genehmigt."
"The authorized amount is %1.","Der autorisierte Betrag beträgt %1."
"PayPal can't process orders with a zero balance due. To finish your purchase, please go through the standard checkout process.","PayPal kann keine fälligen Aufträge mit einem Nullsaldo verarbeiten. Um Ihren Kauf abzuschließen, gehen Sie bitte die Standard-Kaufabwicklung durch."
"A payer is not identified.","Ein Zahler ist nicht identifiziert."
"Cannot get secure form URL from PayPal","Kann keine Secure Form URL von PayPal erhalten"
"Last Transaction ID","Letzte Transaktionsnummer"
"This customer didn't include a confirmed address.","Dieser Kunde hat keine bestätigte Adresse."
"The payment is authorized but not settled.","Die Zahlung ist authorisiert aber noch nicht abgeschlossen."
"The payment eCheck is not cleared.","Der Zahlungs-eCheck ist nicht gelöscht."
"The merchant holds a non-U.S. account and doesn't have a withdrawal mechanism.","Der Händler hat kein US-Konto und keinen Rückzug-Mechanismus."
"The payment currency doesn't match any of the merchant's balances currency.","Die Zahlungswährung entspricht keine Salden Währung des Händlers."
"The payment is pending while it is being reviewed by PayPal for risk.","Die Zahlung ist ausstehend, während das Risiko von PayPal überprüft wird."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","Die Zahlung ist ausstehend, weil sie mit einer E-Mail-Adresse getätigt wurde, die noch nicht registriert ist oder bestätigt wurde."
"The merchant account is not yet verified.","Das Händlerkonto wurde noch nicht verifiziert."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","Die Zahlung erfolgte per Kreditkarte. Um Mittel erhalten, muss das Händler-Konto auf Business-oder Premier-Status hochgestuft werden."
"Sorry, but something went wrong. Please contact PayPal customer service.","Entschuldigung, es ist ein Fehler aufgetreten. Bitte kontaktieren Sie den PayPal Kundenservice."
"A reversal has occurred on this transaction due to a chargeback by your customer.","Eine Stornierung hat bei dieser Transaktion durch eine Rückbuchung des Kunden stattgefunden."
"A reversal has occurred on this transaction due to your customer triggering a money-back guarantee.","Eine Stornierung hat bei dieser Transaktion aufgrund des Auslösens einer Geld-zurück-Garantie stattgefunden."
"A reversal has occurred on this transaction due to a complaint about the transaction from your customer.","Eine Stornierung hat bei dieser Transaktio aufgrund einer Beschwerde des Kunden über die Transaktion stattgefunden."
"A reversal has occurred on this transaction because you have given the customer a refund.","Eine Stornierung hat bei dieser Transaktion stattgefunden, da Sie dem Kunden eine Rückerstattung gewährt haben."
"Reversal of an adjustment.","Stornierung einer Anpassung."
"Transaction reversal due to fraud detected by PayPal administrators.","Stornierung der Transaktion aufgrund eines durch PayPal-Administratoren erkannten Betrugs."
"Transaction reversal by PayPal administrators.","Stornierung der Transaktion durch PayPal-Administratoren."
"Reimbursement for a chargeback.","Kostenerstattung für eine Rückbuchung."
"Settlement of a chargeback.","Abwicklung einer Rückbuchung."
"A reversal has occurred on this transaction because of a customer dispute suspecting unauthorized spoof.","Eine Stornierung ist bei dieser Transaktion aufgrund des Verdachts einer unerlaubten Täuschung aufgetreten."
"Buyer claims that he did not receive goods or service.","Käufer behauptet, dass er die Ware oder Dienstleistung nicht erhalten habe."
"Buyer claims that the goods or service received differ from merchant’s description of the goods or service.","Käufer behauptet, die Ware oder Dienstleistung weicht von der Artikelbezeichnung des Händlers ab."
"Buyer claims that he/she did not authorize transaction.","Käufer behauptet, dass er/sie die Transaktion nicht autorisiert hat."
"A case that has been resolved and close requires a reimbursement.","Ein Vorfall, der bereits gelöst und geschlossen ist, erfordert eine Erstattung."
"Buyer claims that a possible duplicate payment was made to the merchant.","Käufer behauptet, dass eine mögliche doppelte Zahlung an den Händler vorgenommen wurde."
"Buyer claims that the received merchandise is unsatisfactory, defective, or damaged.","Käufer behauptet, dass die erhaltene Ware nicht zufriedenstellend, defekt oder beschädigt ist."
"Unknown reason. Please contact PayPal customer service.","Unbekannter Grund. Bitte kontaktieren Sie den PayPal-Kundenservice."
"Payer ID","Bezahler ID"
"Payer Email","Bezahler E-Mail"
"Payer Status","Bezahler Status"
"Payer Address ID","Bezahler Adress ID"
"Payer Address Status","Bezahler Adress-Status"
"Merchant Protection Eligibility","Händler Schutz-Berechtigung"
"Triggered Fraud Filters","Ausgelöste Betrugs-Filter"
"Last Correlation ID","Letzte Korrelations-ID"
"Address Verification System Response","Adressüberprüfung-Systemantwort"
"CVV2 Check Result by PayPal","CVV2-Prüfergebnis von PayPal"
"AVS Street Match","AVS-Straßenübereinstimmung"
"AVS zip","AVS-Postleitzahl"
"International AVS response","Internationale AVS-Antwort"
"Buyer's Tax ID","Steuernummer des Käufers"
"Buyer's Tax ID Type","Umsatzsteuer-ID-Typ des Käufers"
"Chargeback","Rückbuchung"
"Complaint","Beschwerde"
"Dispute","Streit"
"Matched Address only (no ZIP)","Nur übereinstimmende Adresse (keine Postleitzahl)"
"Matched Address only (no ZIP) International","Nur übereinstimmende Adresse (keine Postleitzahl) International"
"No Details matched","Keine Details übereinstimmend"
"No Details matched. International","Keine Details übereinstimmend. International"
"Exact Match.","Exakte Übereinstimmung."
"Exact Match. Address and Postal Code. International","Genaue Übereinstimmung. Adresse und Postleitzahl. International"
"Exact Match. Address and Postal Code. UK-specific","Genaue Übereinstimmung. Adresse und Postleitzahl. UK-spezifisch"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Nicht für MOTO(Internet/Telefon)-Transaktionen erlaubt"
"N/A. Global Unavailable","N/A. Global nicht verfügbar"
"N/A. International Unavailable","N/A. International nicht verfügbar"
"Matched five-digit ZIP only (no Address)","Nur übereinstimmende fünfstellige Postleitzahl (keine Adresse)"
"Matched Postal Code only (no Address)","Nur übereinstimmende Postleitzahl (keine Adresse)"
"N/A. Retry","Nicht verfügbar. Wiederholen"
"N/A. Service not Supported","Nicht verfügbar. Service nicht unterstützt"
"N/A. Unavailable","Nicht verfügber"
"Matched whole nine-digit ZIP (no Address)","Ganze 9 stellige Postleitzahl angeglichen (keine Adresse)"
"Yes. Matched Address and five-digit ZIP","Ja. Übereinstimmende Adresse und fünfstellige Postleitzahl"
"All the address information matched","Alle Adressinformationen übereinstimmend"
"None of the address information matched","Keine der Adressinformationen übereinstimmend"
"Part of the address information matched","Teile der Adressinformationen übereinstimmend"
"N/A. The merchant did not provide AVS information","N/A. Der Händler hat keine AVS-Informationen angegeben."
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Adresse nicht überprüft oder Erwerber hatte keine Antwort. Dienst nicht verfügbar"
"Matched (CVV2CSC)","Übereinstimmend (CVV2CSC)"
"No match","Keine Übereinstimmung"
"N/A. Not processed","N/A. Nicht verarbeitet"
"N/A. Service not supported","N/A. Service nicht unterstützt"
"N/A. Service not available","N/A. Service nicht verfügbar"
"N/A. No response","N/A. Keine Antwort"
"Matched (CVV2)","Übereinstimmend (CVV2)"
"N/A. The merchant has not implemented CVV2 code handling","N/A. Der Händler hat CVV2-Code-Handling nicht implementiert"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Händler hat angegeben, dass CVV2 auf der Karte nicht vorhanden ist"
"CNPJ","CNPJ"
"CPF","CPF"
"Credit Card","Kreditkarte"
"ending","endet"
"expires","läuft ab"
"Note: %1","Hinweis: %1"
"IPN ""%1"". Case type ""%2"". Case ID ""%3"" %4","IPN ""%1"". Falltyp ""%2"". Fall ID ""%3"" %4"
"IPN ""%1"". A dispute has been resolved and closed. %2 Transaction amount %3.","IPN ""%1"" Eine Streitigkeit wurde gelöst und geschlossen. %2 Transaktionsbetrag %3"
"You notified customer about invoice #%1.","Sie haben den Kunden über Rechnung #%1 informiert."
"We cannot cancel this order.","Wir können diese Bestellung nicht stornieren."
"IPN ""%1"". %2 Transaction amount %3. Transaction ID: ""%4""","IPN ""%1"". %2 Transaktionsmenge %3. Transaktions-ID: ""%4"""
"You notified customer about creditmemo #%1.","Sie haben Ihren Kunden über die Gutschrift #%1 informiert."
"IPN ""%1""","IPN ""%1"""
"Payflow PNREF: #%1.","PNREF Payflow: #%1."
"Unable to fetch transaction details.","Nicht in der Lage, die Transaktionsdetails abzurufen."
"Invalid method %1::%2","Ungültige Methode %1:: %2"
"Transaction has been declined","Transaktion wurde abgelehnt"
"Error processing payment. Please try again later.","Bei der Bezahlung ist ein Fehler aufgetreten. Bitte versuchen Sie es später nocheinmal."
"We cannot send the new order email.","Wir können die neue Bestell-E-Mail nicht senden."
"Payment error. %value was not found.","Zahlungsfehler. %value wurde nicht gefunden."
"You cannot void a verification transaction.","Sie können eine Verifizierungs-Transaktion nicht löschen."
"You need an authorization transaction to void.","Sie benötigen eine Autorisierung, um die Transaktion aufzuheben."
"We can't issue a refund transaction because there is no capture transaction.","Wir können keine Rückerstattung erteilen, weil es keine Empfang-Transaktion gibt."
"We cannot create a target file for reading reports.","Wir können für das Lesen von Berichten keine Zieldatei erstellen."
"Report Date","Datum des Berichts"
"Merchant Account","Händler-Konto"
"Transaction ID","Transaktions ID"
"Invoice ID","Rechnungs-ID"
"PayPal Reference ID","PayPal-Referenz-ID"
"PayPal Reference ID Type","PayPal-Referenz-ID-Typ"
"Event Code","Ereigniscode"
"Event","Vorgang"
"Start Date","Start"
"Finish Date","Enddatum"
"Debit or Credit","Lastschrift oder Kredit"
"Gross Amount","Bruttobetrag"
"Fee Debit or Credit","Gebühr-Lastschrift oder Kredit"
"Fee Amount","Gebührenbetrag"
"Custom","Benutzerdefiniert"
"Order ID","Bestellnummer"
"Preapproved Payment ID","Vorgenehmigte Zahlungs-ID"
"Subscription ID","Abonnement-ID"
"Credit","Guthaben"
"Debit","Lastschrift"
"ACH Deposit (Hold for Dispute or Other Investigation)","ACH-Kaution (Halten für Streitschlichtung oder andere Untersuchungen)"
"ACH Deposit (Reversal)","ACH-Kaution (Storno)"
"ACH Funding for Funds Recovery from Account Balance","ACH-Finanzierung für Fonds-Erholung des Kontenstands"
"ACH Withdrawal","ACH-Widerrufsrecht"
"Account-to-Account Payment, initiated by PayPal","Account-zu-Account Zahlung, ausgelöst durch PayPal"
"Auction Payment other than through eBay","Auktionszahlung außer eBay"
"AutoSweep","AutoSweep"
"Available Balance","Verfügbares Guthaben"
"Balance Manager Account Bonus","Ausgleichsmanager-Kontobonus"
"Bonus for first ACH Use","Bonus für die erste ACH-Nutzung"
"Buyer Credit Payment","Käuferkreditzahlung"
"Charge-off","Abbuchung"
"Coupon Redemption","Gutscheinrücknahme"
"Currency Conversion required to cover negative balance","Währungsumrechnung erforderlich, um negative Bilanz abzudecken"
"Debit Card Cash Back","Kreditkartenrückzahlung"
"Debit Card Transaction","Kreditkartentransaktion"
"Direct Payment API","Direct Payment API"
"EFT Funding (German banking)","EFT-Finanzierung (Deutsche Banken)"
"Express Checkout APIs","Express Checkout APIs"
"Fee Reversal","Stornierungsgebühr"
"Fee: Foreign ACH Withdrawal","Gebühr: Ausländische ACH-Widerruf"
"Fee: Mass Pay Request","Gebühr: Sammelzahlung anfordern"
"Fee: Web Site Payments Pro Account Monthly","Gebühr: Webseitenzahlungen pro Account monatlich"
"Fee: WorldLink Check Withdrawal","Gebühr: Worldlink Check-Widerruf"
"Funding","Finanzierung"
"General (Authorization)","Allgemein (Autorisierung)"
"General (Dividend)","Allgemein (Dividende)"
"General (Funds Transfer from PayPal Account to Another)","Allgemein (Kapitaltransfer von einem PayPal-Konto auf ein anderes)"
"General (Purchase with a credit card)","Allgemein (Kauf mit Kreditkarte)"
"General Adjustment without businessrelated event","Allgemeine Einstellung ohne unternehmensbezogenes Ereignis"
"General Currency Conversion","Allgemeine Währungsumrechnung"
"General Funding of PayPal Account ","Allgemeine Finanzierung des PayPal-Kontos"
"General Redemption","Allgemeine Rückzahlung"
"General Withdrawal from PayPal Account","Allgemeine Rücknahme des PayPal-Kontos"
"General. Product no longer supported","Allgemein: Produkt wird nicht mehr unterstützt"
"General: Use of PayPal account for purchasing as well as receiving payments","Allgemein: Verwendung des PayPal-Kontos sowohl für den Kauf als auch für den Empfang von Zahlungen"
"General: Withdrawal from PayPal Account","Allgemein: Rücknahme des PayPal-Kontos"
"General: Withdrawal to Non-Bank Entity","Allgemein: Widerruf an Nicht-Banken"
"General: adjustment of a type not belonging to the other T12xx categories","Allgemein: Einstellungen eines Typs, der nicht zu den anderen T12xx-Kategorien gehört."
"General: bonus of a type not belonging to the other T08xx categories","Allgemein: Bonus eines Typs, der nicht zu den anderen T08xxx-Kategorien gehört."
"General: event not yet categorized","Allgemein: Ereignis ist noch nicht kategorisiert"
"General: non-payment fee of a type not belonging to the other T01xx categories","Allgemein: Nichtzahlungsgebühr eines Typs, der nicht zu den anderen T01xx-Kategorien gehört."
